,Associate ,Status,Official Contact number,Facebook group,Related Clubs/Societies,Contact no. of Club/Society,FB Group of related societies,Misc. Info,Personally known people(Yes/No),Singla,Deepankar,Chinmay,Tanishq,Tanay,Yash,Srininvas
Delhi College of Arts & Commerce,,,,https://www.facebook.com/groups/670782206304644/?ref=br_rs,,,,,,,,,,,,
Deshbandhu College,,,,www.facebook.com/Deshbandhu-CollegeDelhi-University-DBCDU-227622993925043 GROUP- https://www.facebook.com/groups/200601853295879/,,,,,,,,,,,,
Deen Dayal Upadhyaya College,,,,"https://www.facebook.com/DDUCollege.DU, https://www.facebook.com/edu.dduc  GROUP- https://www.facebook.com/groups/293057167375792/",,,,,,,,,,,,
Guru Nanak Dev Khalsa College,,,,https://www.facebook.com/groups/313395964431,,,,,,,,,,,,
Hans Raj College,,,,https://m.facebook.com/hrcdurp,,,,,,,,,,,,
Hindu College,,,,"https://www.facebook.com/hinducollege   ,   https://www.facebook.com/groups/476524285225/",,,,,,,,,,,,
Indraprastha College For Women,,,,"https://facebook.com/pages/Indraprastha-College-for-Women/127912003929574   ,  https://www.facebook.com/groups/252995508072500/",,,,,,,,,,,,
Janki Devi Memorial College,,,,https://facebook.com/pages/Janki-Devi-Memorial-College/356795191152458,,,,,,,,,,,,
Kalindi College,,,,"https://www.facebook.com/pages/Kalindi-College/123155314394064     ,     https://www.facebook.com/groups/292802507398034/",,,,,,,,,,,,
Kamla Nehru College,,,,https://www.facebook.com/groups/199652916744177,,,,,,,,,,,,
Kirori Mal College,,,,"https://www.facebook.com/KMC.DU     ,           https://www.facebook.com/groups/313909841970455/",,,,,,,,,,,,
Maharaja Agrasen College,,,,https://www.facebook.com/Maharaja.Agrasen.College.MAC,,,,,,,,,,,,
Maitreyi College,,,,https://www.facebook.com/pages/Maitreyi-College/109348135749473,,,,,,,,,,,,
P.G.D.A.V College,,,,https://www.facebook.com/groups/pgdav.du/,,,,,,,,,,,,
Rajdhani College,,,,https://www.facebook.com/groups/326619107450120/,,,,,,,,,,,,
Satyawati College,,,,,,,,,,,,,,,,
Satyawati Evening College,,,,,,,,,,,,,,,,
School of Open Learning(Delhi University),,,,,,,,,,,,,,,,
Shaheed Bhagat Singh College,,,,,,,,,,,,,,,,
Shaheed Bhagat Singh College (Evening),,,,,,,,,,,,,,,,
Shyam Lal College (SLC),,,,https://www.facebook.com/groups/233014486801571/,,,,,,,,,,,,
Shyama Prasad Mukherji College,,,,https://www.facebook.com/groups/1453094768257367/,,,,,,,,,,,,
Sri Aurobindo College,,,,https://www.facebook.com/groups/1424899617740447/,,,,,,,,,,,,
Sri Guru Gobind Singh College of Commerce,,,,https://www.facebook.com/groups/sggscc.alumni/,,,,,,,,,,,,
,,,,https://www.facebook.com/groups/sgtbk/,,,,,,,,,,,,
,,,,https://www.facebook.com/groups/Globalstephanians/,,,,,,,,,,,,
Swami Shraddhanand College,,,,https://www.facebook.com/groups/216081421919604/,,,,,,,,,,,,
Zakir Hussain College,,,,https://www.facebook.com/groups/434255836598169/,,,,,,,,,,,,
aryabhatta institute of engineering and management,,,,https://www.facebook.com/groups/186318764742698/,,,,,,,,,,,,
kirorimal college of engineering,,,,https://www.facebook.com/groups/kirorians/,,,,,,,,,,,,
Fortune Institute of International Business,,,,https://www.facebook.com/groups/125419364183365/,,,,,,,,,,,,
eDC IIT Delhi,,,,https://www.facebook.com/groups/105885712087/,,,,,,,,,,,,
Aligarh Muslim University,,,,https://www.facebook.com/groups/AMUtoday/,,,,,,,,,,,,
"Sri Aurobindo College,(Evening),University of delhi",,,,https://www.facebook.com/groups/1424899617740447/,,,,,,,,,,,,
Tula's Institute the engineering and management college,,,,https://www.facebook.com/groups/393788637355816/,,,,,,,,,,,,
"BITS Pilani, Pilani Campus",,,,https://www.facebook.com/groups/BITSPilani.PilaniCampus/,,,,,,,,,,,,
DTU Interactive Forum,,,,https://www.facebook.com/groups/dtuforum/?ref=br_rs,,,,,,,,,,,,
NIT Uttarakhand Information Portal,,,,https://www.facebook.com/groups/681413378615585/,,,,,,,,,,,,
Greater Noida Institute of Technology (GNIOT),,,,https://www.facebook.com/groups/gniot/,,,,,,,,,,,,
,,,,https://www.facebook.com/groups/326619107450120/,,,,,,,,,,,,
Delhi college of arts and commerce (DCAC),,,,https://www.facebook.com/groups/670782206304644/,,,,,,,,,,,,
,,,,https://www.facebook.com/groups/IITISMDhanbad/,,,,,,,,,,,,
,,,,https://www.facebook.com/groups/srcc.smilyo/,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Bakwaas College - No Group or page on which we could post,,,,,,,,,,,,
,,,,Pages mein Visitor post ho gaya ,,,,,,,,,,,,
,,,,Talked to admin but pending,,,,,,,,,,,,
,,,,Everything is done peacefully,,,,,,,,,,,,
